Tahun,Kejadian,Meninggal Dunia,Luka Berat,Luka Ringan
1992,19920,1038,13363,14846
1993,17323,11004,11453,13037
1994,17469,10990,11055,12215
1995,16510,10869,952,11873
1996,15291,12308,8968,10374
1997,17101,11694,9913,12699
1998,14858,9917,8878,10609
1999,12675,9536,7329,9385
2000,12649,9522,7100,9518
2001,12791,8762,6656,9181
2002,12267,9856,6012,8929
2003,13399,9819,6142,8694
